time;V(Net-_Q1-G_);
3.67751e-05;0.206138;
3.67829e-05;0.296965;
3.67851e-05;0.34563;
3.67862e-05;0.404753;
3.67873e-05;0.452691;
3.67877e-05;0.462657;
3.67883e-05;0.481415;
3.67889e-05;0.499267;
3.67895e-05;0.519388;
3.67905e-05;0.550341;
3.67916e-05;0.584948;
3.67935e-05;0.645044;
3.67959e-05;0.722237;
3.68002e-05;0.861051;
3.68055e-05;1.03946;
3.68128e-05;1.28757;
3.68201e-05;1.52948;
3.6827e-05;1.74861;
3.68342e-05;1.97151;
3.68428e-05;2.22917;
3.68538e-05;2.547;
3.68676e-05;2.92819;
3.68857e-05;3.40575;
3.69004e-05;3.77504;
3.69088e-05;3.92481;
3.69206e-05;4.02626;
3.69261e-05;4.06974;
3.69339e-05;4.13159;
3.6943e-05;4.18964;
3.69516e-05;4.2363;
3.6955e-05;4.25258;
3.69572e-05;4.26228;
3.69579e-05;4.26546;
3.69582e-05;4.26676;
3.69583e-05;4.26748;
3.69584e-05;4.26802;
3.69586e-05;4.2686;
3.69587e-05;4.26917;
3.69588e-05;4.26974;
3.6959e-05;4.27029;
3.69591e-05;4.27083;
3.69593e-05;4.27133;
3.69595e-05;4.27179;
3.69597e-05;4.27219;
3.69602e-05;4.27276;
3.69606e-05;4.27362;
3.69612e-05;4.27546;
3.69621e-05;4.27936;
3.69639e-05;4.2889;
3.69653e-05;4.29822;
3.69667e-05;4.30732;
3.69682e-05;4.31457;
3.697e-05;4.3223;
3.69735e-05;4.33692;
3.69791e-05;4.35832;
3.69849e-05;4.37871;
3.69966e-05;4.41411;
3.70176e-05;4.46376;
3.70248e-05;4.4786;
3.70285e-05;4.5052;
3.70299e-05;4.52896;
3.70313e-05;4.56111;
3.70318e-05;4.57292;
3.70325e-05;4.59166;
3.70336e-05;4.61687;
3.70353e-05;4.65795;
3.70371e-05;4.70108;
3.70398e-05;4.76205;
3.70423e-05;4.81932;
3.70461e-05;4.90105;
3.705e-05;4.98462;
3.70554e-05;5.09559;
3.70613e-05;5.2121;
3.70691e-05;5.36093;
3.70778e-05;5.51974;
3.70891e-05;5.7137;
3.71019e-05;5.92383;
3.71182e-05;6.17285;
3.71329e-05;6.38526;
3.71477e-05;6.58661;
3.71626e-05;6.78042;
3.71749e-05;6.93274;
3.71881e-05;7.08988;
3.72007e-05;7.23248;
3.72158e-05;7.39684;
3.72431e-05;7.67398;
3.72697e-05;7.9216;
3.73156e-05;8.30188;
3.73703e-05;8.68706;
3.74689e-05;9.22971;
3.76051e-05;9.74301;
3.77538e-05;10.0953;
3.78278e-05;10.2151;
3.78771e-05;10.2809;
3.79353e-05;10.3469;
3.80005e-05;10.4084;
3.80646e-05;10.4583;
3.81305e-05;10.5009;
3.8195e-05;10.5355;
3.82576e-05;10.5636;
3.8324e-05;10.5884;
3.83929e-05;10.6097;
3.84801e-05;10.6316;
3.86173e-05;10.657;
3.87437e-05;10.6732;
3.8886e-05;10.6856;
3.90452e-05;10.6946;
3.91762e-05;10.6993;
3.92911e-05;10.7021;
3.93919e-05;10.7037;
3.94952e-05;10.7049;
3.9598e-05;10.7057;
3.97115e-05;10.7063;
3.98578e-05;10.7067;
4.00216e-05;10.7069;
4.01746e-05;10.7069;
4.03309e-05;10.7069;
4.04794e-05;10.7069;
4.06446e-05;10.7068;
4.07966e-05;10.7068;
4.09892e-05;10.7068;
4.11861e-05;10.7068;
4.14879e-05;10.7067;
4.17885e-05;10.7067;
4.20809e-05;10.7067;
4.22596e-05;10.7067;
4.24143e-05;10.7067;
4.26166e-05;10.7067;
4.27101e-05;10.7067;
4.28102e-05;10.7067;
4.29425e-05;10.7067;
4.30844e-05;10.7067;
4.3237e-05;10.7067;
4.34063e-05;10.7067;
4.36256e-05;10.7067;
4.38232e-05;10.7067;
4.40342e-05;10.7067;
4.42252e-05;10.7067;
4.44449e-05;10.7067;
4.47342e-05;10.7067;
4.50603e-05;10.7067;
4.55092e-05;10.7067;
4.597e-05;10.7067;
4.66284e-05;10.7067;
4.73153e-05;10.7067;
4.83808e-05;10.7067;
4.95305e-05;10.7067;
5.15095e-05;10.7067;
5.36544e-05;10.7067;
5.77929e-05;10.7067;
5.97169e-05;10.7067;
6.11719e-05;10.7067;
6.27064e-05;10.7067;
6.45668e-05;10.7067;
6.66436e-05;10.7067;
6.94529e-05;10.7067;
7.2701e-05;10.7067;
7.62358e-05;10.7067;
7.97978e-05;10.7067;
8.24703e-05;10.7067;
8.47804e-05;10.7067;
8.72761e-05;10.7067;
9.03163e-05;10.7067;
9.63966e-05;10.7067;
0.000103234;10.7067;
0.000110322;10.7067;
0.000120322;10.7067;
0.000130322;10.7067;
0.000133654;10.7067;
0.00013542;10.7067;
0.000136716;10.7067;
0.000137556;10.7067;
0.000138367;10.7067;
0.000139016;10.7067;
0.000139659;10.7067;
0.000140177;10.7067;
0.000140703;10.7067;
0.000141253;10.7067;
0.000141805;10.7067;
0.000142226;10.7067;
0.000142527;10.7067;
0.000142743;10.7067;
0.000142921;10.7067;
0.000143101;10.7067;
0.000143293;10.7067;
0.000143539;10.7067;
0.000143876;10.7067;
0.000143997;10.7067;
0.000144077;10.7067;
0.000144136;10.7067;
0.00014418;10.7067;
0.000144218;10.7067;
0.000144257;10.7067;
0.000144299;10.7067;
0.000144321;10.7067;
0.000144337;10.7067;
0.000144347;10.7067;
0.000144358;10.7067;
0.000144367;10.7067;
0.000144377;10.7067;
0.000144389;10.7067;
0.000144401;10.7067;
0.000144413;10.7066;
0.000144424;10.7065;
0.000144434;10.7065;
0.000144443;10.7063;
0.000144452;10.7061;
0.000144459;10.7059;
0.000144466;10.7055;
0.000144469;10.7053;
0.000144472;10.7051;
0.000144475;10.7049;
0.000144478;10.7046;
0.000144482;10.7042;
0.000144487;10.7038;
0.000144494;10.7031;
0.000144503;10.702;
0.000144512;10.701;
0.000144523;10.6997;
0.000144529;10.6992;
0.000144534;10.6992;
0.000144536;10.6991;
0.000144538;10.6991;
0.00014454;10.699;
0.000144541;10.699;
0.000144543;10.6991;
0.000144545;10.6991;
0.000144547;10.6992;
0.000144551;10.6995;
0.000144556;10.6999;
0.000144563;10.7011;
0.000144571;10.703;
0.000144581;10.7068;
0.00014459;10.7113;
0.000144594;10.7138;
0.000144596;10.715;
0.000144598;10.7162;
0.0001446;10.7171;
0.000144601;10.7177;
0.000144603;10.7181;
0.000144605;10.7181;
0.000144607;10.7176;
0.000144609;10.716;
0.000144614;10.712;
0.000144619;10.7073;
0.000144625;10.7025;
0.000144633;10.6964;
0.000144639;10.6787;
0.000144644;10.6531;
0.00014465;10.6127;
0.000144654;10.578;
0.000144659;10.5342;
0.000144665;10.4855;
0.00014467;10.4354;
0.000144673;10.3987;
0.000144677;10.3619;
0.000144681;10.3176;
0.000144682;10.2964;
0.000144684;10.2729;
0.000144685;10.2422;
0.000144686;10.2111;
0.000144687;10.1789;
0.000144689;10.1192;
0.000144691;10.0283;
0.000144694;9.91821;
0.000144697;9.81503;
0.0001447;9.69918;
0.000144702;9.60161;
0.000144706;9.46425;
0.00014471;9.31345;
0.000144718;9.01304;
0.000144729;8.59309;
0.00014474;8.16008;
0.000144751;7.72664;
0.000144763;7.23693;
0.000144784;6.45145;
0.000144805;5.66365;
0.00014483;4.76426;
0.000144852;3.99965;
0.000144863;3.64473;
0.000144869;3.42213;
0.000144874;3.27801;
0.000144877;3.17334;
0.00014488;3.08534;
0.000144882;3.02017;
0.000144883;2.96715;
0.000144885;2.92492;
0.000144886;2.88967;
0.000144887;2.8512;
0.000144888;2.80868;
0.000144889;2.76508;
0.00014489;2.71426;
0.000144892;2.63634;
0.000144894;2.57519;
0.000144896;2.51255;
0.000144897;2.48046;
0.000144898;2.43708;
0.000144899;2.39469;
0.000144901;2.34268;
0.000144903;2.29105;
0.000144906;2.23507;
0.000144909;2.16836;
0.000144914;2.07489;
0.000144919;1.99788;
0.000144926;1.92461;
0.000144933;1.86355;
0.000144943;1.80144;
0.000144954;1.75511;
0.000144968;1.72012;
0.000144985;1.69792;
0.000145003;1.68304;
0.000145025;1.66879;
0.000145048;1.65805;
0.000145078;1.64678;
0.000145115;1.63609;
0.000145173;1.62203;
0.000145251;1.6022;
0.000145275;1.59402;
0.000145282;1.593;
0.000145283;1.59306;
0.000145284;1.59307;
0.000145284;1.59309;
0.000145285;1.59311;
0.000145286;1.5931;
0.000145287;1.59309;
0.000145288;1.59305;
0.000145289;1.593;
0.00014529;1.59294;
0.000145291;1.59286;
0.000145292;1.59276;
0.000145293;1.59264;
0.000145293;1.59251;
0.000145294;1.59236;
0.000145295;1.5922;
0.000145296;1.59201;
0.000145297;1.59176;
0.000145299;1.59144;
0.0001453;1.59103;
0.000145302;1.59048;
0.000145304;1.5897;
0.000145307;1.58857;
0.000145311;1.58674;
0.000145316;1.58357;
0.000145325;1.57695;
0.000145342;1.55907;
0.000145376;1.50367;
0.000145444;1.32199;
0.000145491;1.14872;
0.000145535;0.960991;
0.000145584;0.732709;
0.000145661;0.334446;
0.000145691;0.184378;
0.000145709;0.125759;
0.000145728;0.089222;
0.000145746;0.0672704;
0.000145763;0.0532349;
0.000145781;0.0430105;
0.000145801;0.0340733;
0.000145825;0.0268027;
0.000145852;0.020427;
0.000145883;0.0151882;
0.000145919;0.0103221;
0.000145961;0.00620589;
0.00014601;0.00238521;
0.000146064;-0.000610803;
0.000146116;-0.0029254;
0.000146159;-0.00438276;
0.000146202;-0.00572735;
0.000146252;-0.00691021;
0.00014635;-0.00879585;
0.000146443;-0.00996452;
0.000146585;-0.0112095;
0.000146714;-0.011876;
0.000146918;-0.0125322;
0.000147117;-0.0128338;
0.000147428;-0.0130874;
0.000147755;-0.0131668;
0.000147981;-0.0132091;
0.000148274;-0.013214;
0.000148408;-0.0132322;
0.000148601;-0.0132237;
0.00014896;-0.0132406;
0.000149289;-0.01323;
0.000149418;-0.0132418;
0.000149487;-0.0132317;
0.000149528;-0.0132391;
0.000149555;-0.0132364;
0.000149579;-0.013234;
0.000149598;-0.013242;
0.000149613;-0.0132278;
0.000149625;-0.0132483;
0.000149636;-0.0132219;
0.000149648;-0.013253;
0.000149659;-0.0132181;
0.000149672;-0.0132558;
0.000149688;-0.0132161;
0.000149708;-0.0132571;
0.000149736;-0.0132153;
0.000149778;-0.0132575;
0.000149844;-0.0132149;
0.000149943;-0.0132575;
0.000150051;-0.0132147;
0.000150195;-0.0132576;
0.000150381;-0.0132148;
0.000150633;-0.0132579;
0.000151058;-0.013215;
0.000151675;-0.0132582;
0.000152679;-0.0132152;
0.000153668;-0.0132584;
0.000154953;-0.0132153;
0.00015662;-0.0132584;
0.000158388;-0.0132156;
0.000160072;-0.0132592;
0.000161728;-0.0132165;
0.000163382;-0.0132602;
0.000165063;-0.0132178;
0.00016675;-0.013262;
0.000168459;-0.0132201;
0.000170181;-0.0132649;
0.00017194;-0.0132236;
0.000173737;-0.0132689;
0.0001756;-0.013228;
0.000177551;-0.0132737;
0.000179611;-0.0132328;
0.00018183;-0.0132783;
0.000184248;-0.0132372;
0.00018693;-0.0132824;
0.000189937;-0.0132408;
0.000193362;-0.0132856;
0.000197299;-0.0132437;
0.000201891;-0.0132882;
0.000207288;-0.0132459;
0.00021372;-0.01329;
0.000221444;-0.0132474;
0.000230852;-0.0132913;
0.000240852;-0.0132485;
0.000250852;-0.0132921;
0.000260852;-0.013249;
0.000270852;-0.0132925;
0.000280852;-0.0132493;
0.000290852;-0.0132927;
0.000300852;-0.0132495;
0.000310852;-0.0132928;
0.000320852;-0.0132496;
0.000330852;-0.0132929;
0.000340852;-0.0132496;
0.000350852;-0.013293;
0.000360852;-0.0132497;
0.000370852;-0.0132931;
0.000380852;-0.0132497;
0.000390852;-0.0132931;
0.000400852;-0.0132498;
0.000410852;-0.0132932;
0.000420852;-0.0132498;
0.000429768;-0.0132932;
0.000433715;-0.0132498;
0.00043572;-0.0132932;
0.00043718;-0.0132498;
0.000438454;-0.0132932;
0.000439672;-0.0132498;
0.000441047;-0.0132932;
0.000442384;-0.0132498;
0.000444177;-0.0132932;
0.0004453;-0.0132497;
0.000445862;-0.0132934;
0.000446185;-0.0132505;
0.000446367;-0.0132949;
0.000446485;-0.013252;
0.000446558;-0.0132961;
0.000446612;-0.0132518;
0.000446652;-0.0132942;
0.000446683;-0.0132459;
0.000446707;-0.0132819;
0.000446726;-0.0132204;
0.000446745;-0.0132323;
0.000446766;-0.0131508;
0.000446786;-0.0131803;
0.000446805;-0.0131309;
0.000446823;-0.013179;
0.000446841;-0.0131466;
0.000446857;-0.0133235;
0.000446868;-0.0139272;
0.000446876;-0.0152076;
0.00044688;-0.0162396;
0.000446884;-0.0172554;
0.000446888;-0.0183698;
0.000446895;-0.0205095;
0.000446904;-0.023368;
0.000446913;-0.0265983;
0.000446924;-0.0306802;
0.000446931;-0.0330616;
0.000446938;-0.0342315;
0.000446941;-0.0344762;
0.000446946;-0.0344333;
0.000446951;-0.0340702;
0.000446957;-0.0330229;
0.000446962;-0.0313103;
0.000446964;-0.0298032;
0.000446967;-0.0281199;
0.000446969;-0.0267288;
0.00044697;-0.0254566;
0.000446972;-0.0241212;
0.000446973;-0.0235838;
0.000446973;-0.0231909;
0.000446974;-0.0227236;
0.000446975;-0.0223056;
0.000446976;-0.0218024;
0.000446977;-0.0213667;
0.000446979;-0.0209387;
0.00044698;-0.0205424;
0.000446981;-0.0201207;
0.000446983;-0.0196701;
0.000446985;-0.0190735;
0.000446988;-0.018294;
0.000446992;-0.0175473;
0.000446997;-0.0166737;
0.000447003;-0.0157713;
0.000447009;-0.0150755;
0.000447017;-0.0143761;
0.000447027;-0.013752;
0.000447042;-0.0130722;
0.000447063;-0.0123474;
0.000447074;-0.0111853;
0.000447081;-0.00938695;
0.000447086;-0.00794846;
0.000447089;-0.00649726;
0.000447091;-0.00408228;
0.000447092;-0.000104958;
0.000447094;0.0058405;
0.000447096;0.0143502;
0.000447098;0.0270309;
0.0004471;0.0436338;
0.000447104;0.0760089;
0.000447109;0.127311;
0.000447115;0.18753;
0.000447122;0.258389;
0.000447124;0.290908;
0.000447126;0.317466;
0.000447127;0.340265;
0.000447128;0.362785;
0.000447128;0.392857;
0.000447129;0.42632;
0.000447129;0.437652;
0.00044713;0.454511;
0.00044713;0.470432;
0.000447131;0.491014;
0.000447131;0.514137;
0.000447133;0.551823;
0.000447134;0.593802;
0.000447136;0.648726;
0.000447138;0.730467;
0.000447142;0.864596;
0.000447148;1.04723;
0.000447155;1.30542;
0.000447163;1.54353;
0.000447169;1.76538;
0.000447177;1.98483;
0.000447184;2.20389;
0.00044719;2.38956;
0.000447197;2.59112;
0.000447207;2.86843;
0.000447224;3.32865;
0.000447241;3.75659;
0.000447246;3.86247;
0.000447249;3.90675;
0.000447251;3.9281;
0.000447253;3.94773;
0.000447255;3.96632;
0.000447258;3.9885;
0.000447261;4.01823;
